,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106891.41414888,197358.8546524,0.0,0.0,0.0,0.0,0.0,0.0,163076.094747691,499976.89866532397,1241062.841832892,0.0,332931.224387158,0.0,0.0,2.541297328434345,0.064933,0.4975392946304,3.038836623064745,0.1973207784454631,0.012812630106799257
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53953.346384195,113665.42410769,0.0,0.0,0.0,0.0,0.0,0.0,138464.412240814,465121.7973059199,1088357.008247864,0.0,316710.59215395304,0.0,0.0,2.176272580440436,0.060462,0.4632809331456,2.639553513586036,0.15959268453843892,0.009649292892563095
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54024.70261729001,113708.43951033,0.0,0.0,0.0,0.0,0.0,0.0,138465.263474538,465070.06525466,1088342.437174528,0.0,316669.135367504,0.0,0.0,2.1762800433988496,0.060455,0.463227296704,2.6395073401028495,0.15957141624591778,0.00964688996914696
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53994.0201621,113692.93733623,0.0,0.0,0.0,0.0,0.0,0.0,138465.12377829,465108.480316996,1088350.5105848168,0.0,316696.880344303,0.0,0.0,2.176307952522736,0.06046,0.46326560844799997,2.6395735609707356,0.15958861749629066,0.009648727813825734
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228611.99415411998,174501.98083843,0.0,0.0,0.0,0.0,0.0,0.0,140440.99684080802,1418492.362033096,1049288.319572605,0.0,843734.4942522941,0.0,0.0,3.8550701476913534,0.184392,1.4128758199295999,5.267945967620953,0.9713670928615629,0.1791123209869293
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215680.85918054002,167978.39550303,0.0,0.0,0.0,0.0,0.0,0.0,145857.87995313702,1449420.4362344518,1090746.530032073,0.0,865443.001888267,0.0,0.0,3.9351271027914985,0.188412,1.4436784621055998,5.378805564897098,1.013431514093392,0.19094265843336417
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53974.069064485004,129374.53094461,0.0,0.0,0.0,0.0,0.0,0.0,144965.635074822,494537.578750636,1143159.2065819888,0.0,325748.28828066605,0.0,0.0,2.2917593086972077,0.064277,0.49251279381759994,2.784272102514808,0.17896465793334432,0.011503311317981572
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53969.178479195,129394.07019539,0.0,0.0,0.0,0.0,0.0,0.0,144964.961780291,494510.786183852,1143154.449963007,0.0,325731.52122020803,0.0,0.0,2.291724967821943,0.064273,0.4924821444223999,2.784207112244343,0.17894934372528065,0.011501611169254963
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53977.003392375,129396.01861081,0.0,0.0,0.0,0.0,0.0,0.0,144965.915146871,494487.64675311197,1143170.524802324,0.0,325701.066145122,0.0,0.0,2.291698174850614,0.06427,0.49245915737599993,2.7841573322266138,0.17893779174220445,0.01150033187527148
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210031.012756805,168180.34450385,0.0,0.0,0.0,0.0,0.0,0.0,140619.833225338,1405648.2972161518,1055464.8736352609,0.0,835539.452660181,0.0,0.0,3.8154838139975866,0.182722,1.4000796974335998,5.215563511431187,0.9529981959357293,0.17413373635776833
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72854.33213565001,179264.62688484,0.0,0.0,0.0,0.0,0.0,0.0,157959.928831979,469958.49657162395,1242311.930501784,0.0,320128.03632965503,0.0,0.0,2.442477351255532,0.061036,0.46767912135679995,2.910156472612332,0.1776243104623663,0.01084147741338099
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108038.077025985,86937.30680635,0.0,0.0,0.0,0.0,0.0,0.0,180389.68417105998,1038019.921036516,1376533.282431888,0.0,903763.7257175561,0.0,0.0,3.6936819971893553,0.134868,1.0334056579584,4.727087655147756,0.6375328578744675,0.08598278147581367
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104046.02276775999,79715.21955166,0.0,0.0,0.0,0.0,0.0,0.0,180370.331528111,1023925.604973176,1377709.5044348459,0.0,890966.317225618,0.0,0.0,3.6567330004811707,0.13304,1.0193988843519999,4.67613188483317,0.622112585958205,0.08276585843587958
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80087.5693998,184224.51367887,0.0,0.0,0.0,0.0,0.0,0.0,174202.263165463,557300.561574988,1363125.3425396457,0.0,380777.80487213103,0.0,0.0,2.739718055230898,0.07237,0.554524182656,3.294242237886898,0.23840431075587482,0.017253319969402662
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68095.969026545,94107.57572755001,0.0,0.0,0.0,0.0,0.0,0.0,146842.622588111,579462.30084724,1173568.6337079739,0.0,424595.911364435,0.0,0.0,2.486673013261855,0.075324,0.5771587610112,3.063831774273055,0.2307800645653436,0.017383277583319943
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59251.894879465,95994.80389107,0.0,0.0,0.0,0.0,0.0,0.0,143731.001850538,363422.37130487995,1156756.0507788798,0.0,260123.573410584,0.0,0.0,2.079279696115417,0.047241,0.3619770196607999,2.441256715776217,0.11532740850998427,0.005448182105420167
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135441.306642455,196894.10247815,0.0,0.0,0.0,0.0,0.0,0.0,202732.987556942,829553.639277052,1524925.63205913,0.0,549628.093380129,0.0,0.0,3.4391757613938583,0.107693,0.8251813293183999,4.2643570907122585,0.45924140817007525,0.04945708497005991
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81124.98100155,184839.16611657,0.0,0.0,0.0,0.0,0.0,0.0,177981.832619244,574642.852476008,1391824.540556196,0.0,393636.408528687,0.0,0.0,2.804049781298255,0.07462,0.571764467456,3.375814248754255,0.25190325924204254,0.018797021204641218
gcc_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100847.23784203001,181325.93269287,0.0,0.0,0.0,0.0,0.0,0.0,204112.477089862,761779.3155640879,1550582.983948968,0.0,532868.340603199,0.0,0.0,3.3315162877410165,0.098912,0.7578982445056,4.089414532246616,0.4044921702135773,0.04000912954016536
parest_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31639.69842937,76771.55453688,0.0,0.0,0.0,0.0,0.0,0.0,168779.971762744,731671.234179356,1343982.9501475769,0.0,562362.166913191,0.0,0.0,2.915207575969118,0.095079,0.7285284615551999,3.6437360375243175,0.3464427787117746,0.03293943295713681
parest_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31166.505498845,76243.40873856,0.0,0.0,0.0,0.0,0.0,0.0,168307.956120575,722326.4885615079,1340578.2516095059,0.0,554949.3613171331,0.0,0.0,2.893571971846127,0.093865,0.719226370112,3.612798341958127,0.3391153163678996,0.031831059170872894
parest_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32699.034039635,75837.00384253,0.0,0.0,0.0,0.0,0.0,0.0,167588.216593967,717846.253031228,1335777.1386290619,0.0,551773.337345102,0.0,0.0,2.8815209834815234,0.093283,0.7147668831103999,3.5962878665919233,0.3354725210592944,0.031293883181974166
xalancbmk_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29787.106545965,115473.14289749,0.0,0.0,0.0,0.0,0.0,0.0,240288.64811468098,1162904.322658956,1833589.0275607498,0.0,879142.249467537,0.0,0.0,4.261184497245379,0.151149,1.1581563587712,5.419340856016579,0.81912795104605,0.12381037067265942
wrf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75872.888952575,76858.56956743,0.0,0.0,0.0,0.0,0.0,0.0,153517.099962851,671453.977781788,1235422.237799123,0.0,511292.258702941,0.0,0.0,2.7244170327667083,0.087279,0.6687621409151999,3.3931791736819084,0.2961532850997833,0.025847962570223985
exchange2_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72841.98071392,76552.10736313,0.0,0.0,0.0,0.0,0.0,0.0,154725.116184223,394150.40482677997,1211488.371509776,0.0,275035.224212768,0.0,0.0,2.184793204810597,0.051203,0.39233524560639993,2.5771284504169967,0.13195670804670148,0.006756579322115256
exchange2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67441.167734325,72962.04175862,0.0,0.0,0.0,0.0,0.0,0.0,152702.395535266,381126.9960263,1198910.636638736,0.0,266835.725902657,0.0,0.0,2.139978963595904,0.049516,0.37940886318079997,2.519387826776704,0.12475000763067527,0.0061771213778405165
exchange2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68344.775710585,73536.39355244,0.0,0.0,0.0,0.0,0.0,0.0,154423.116460456,388726.571549372,1211037.745073082,0.0,272163.97011518,0.0,0.0,2.1682325724611147,0.050501,0.38695627674879995,2.5551888492099146,0.12903959207394988,0.006516628439326543
deepsjeng_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108362.6358209,151984.54703628,0.0,0.0,0.0,0.0,0.0,0.0,179124.307138243,543923.853983192,1376293.3661610158,0.0,365780.057657678,0.0,0.0,2.725468767797309,0.070588,0.5408698770943999,3.266338644891709,0.23056431226561597,0.0162750736742053
cam4_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56686.09342848499,102885.45766877,0.0,0.0,0.0,0.0,0.0,0.0,160063.080817169,469875.276611496,1271912.174804285,0.0,349358.660742087,0.0,0.0,2.410780744072292,0.06104,0.46770977075199993,2.878490514824292,0.17570306102487476,0.010724914844958355
deepsjeng_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101400.70116177501,145524.57821566,0.0,0.0,0.0,0.0,0.0,0.0,173959.16302823398,532459.2415262479,1338042.9636506098,0.0,358259.635623275,0.0,0.0,2.6496462832058016,0.069102,0.5294836267776,3.1791299099834016,0.21968423503967302,0.015180620009711484
deepsjeng_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103678.170101935,146179.43112164,0.0,0.0,0.0,0.0,0.0,0.0,177816.724555641,550821.48619104,1365322.0748524058,0.0,370584.593213395,0.0,0.0,2.7144024800360564,0.071485,0.547743003968,3.2621454840040567,0.23319446992403,0.016669906682519286
nab_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14991.026307465,104524.07754138,0.0,0.0,0.0,0.0,0.0,0.0,138544.899170244,366976.08326633996,1118251.533274397,0.0,272480.067366776,0.0,0.0,2.015767686926602,0.047703,0.36551702480639997,2.3812847117330023,0.11359442460379941,0.0054187948368750434
roms_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70039.933953865,106621.75460538,0.0,0.0,0.0,0.0,0.0,0.0,163911.46695233101,726231.5240861599,1302225.801083817,0.0,570152.105728399,0.0,0.0,2.9391825864099514,0.094403,0.7233487137664,3.6625313001763513,0.34575394233054807,0.03264020941783073
mcf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235961.947987225,291601.0789083,0.0,0.0,0.0,0.0,0.0,0.0,262973.082724572,1302327.896533896,1949916.2586435657,0.0,902658.054381373,0.0,0.0,4.945438319178932,0.169118,1.2958411043583997,6.241279423537332,1.0555126935497865,0.17850619570775278
wrf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47100.228403735004,118436.92317275,0.0,0.0,0.0,0.0,0.0,0.0,170158.406664358,564724.165979372,1334933.323720462,0.0,435392.889347527,0.0,0.0,2.670745937288204,0.073353,0.5620562715263999,3.2328022088146042,0.23713574042317767,0.017394617967261352
wrf_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4801.853257895,149144.57378506,0.0,0.0,0.0,0.0,0.0,0.0,165771.33642826098,498482.31337043596,1305076.315336773,0.0,364921.474905492,0.0,0.0,2.4881978670839167,0.06473,0.4959838378239999,2.9841817049079165,0.1931660817586894,0.012503640472239964
cam4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36347.069683595,118033.54107545,0.0,0.0,0.0,0.0,0.0,0.0,160750.482963489,402974.46552113997,1277188.520427412,0.0,305315.66330065497,0.0,0.0,2.3006097429717407,0.052349,0.40111629733119997,2.701726040302941,0.14143265648381864,0.007403858134271422
cam4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53999.098596785,137479.31800309,0.0,0.0,0.0,0.0,0.0,0.0,169873.325745899,483509.977954352,1339710.3429101328,0.0,351307.231038255,0.0,0.0,2.535879294248514,0.062783,0.4810652447104,3.016944538958914,0.18941282898945752,0.011891905642445112
leela_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124391.73985602,171466.10668824,0.0,0.0,0.0,0.0,0.0,0.0,198713.447321391,623989.31743442,1527289.005746454,0.0,433868.046677568,0.0,0.0,3.0797176637240926,0.081013,0.6207498633344,3.7004675270584926,0.29978597576958965,0.024286561255021766
