,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
gcc_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150167.89054395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163853.56330429198,126669.35892237199,1248156.65084768,0.0,118949.949326785,0.0,0.0,1.807797412945079,0.065618,0.4538204398223999,2.2616178527674786,0.1484028402628964,0.009737897572370736
perlbench_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74271.77263969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138467.245776875,118865.357287564,1091035.299736335,0.0,112124.997271542,0.0,0.0,1.534764672712006,0.061806,0.42745627882079995,1.9622209515328057,0.12127702813043659,0.007495648000629763
perlbench_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74317.3564773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138467.578055137,118855.13664262,1091030.673831275,0.0,112115.108803321,0.0,0.0,1.5347858538096528,0.0618,0.42741478223999996,1.9622006360496527,0.12126399930786853,0.007494115157226275
perlbench_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74302.44702903001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138467.577109145,118849.194838204,1091035.537840762,0.0,112119.49873517701,0.0,0.0,1.5347742555523183,0.061797,0.4273940339495999,1.9621682895019181,0.12125611378635003,0.007493264063655072
cactuBSSN_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333589.56560819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139737.481403296,359610.235696832,1044349.7985471969,0.0,245088.50604345,0.0,0.0,2.122375587298965,0.186985,1.293206360148,3.415581947446965,0.6386625904433708,0.1194203244740537
cactuBSSN_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315152.36577616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140931.503002883,366750.394647636,1054914.703204871,0.0,247198.416914264,0.0,0.0,2.124947383545814,0.190698,1.3188858275664,3.4438332111122136,0.6567321056926769,0.1252374990913821
fotonik3d_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76941.77988215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144930.558055567,124126.359509608,1144270.802257515,0.0,114021.499358691,0.0,0.0,1.6042909990635312,0.064508,0.44614357237439994,2.0504345714379313,0.13226943333431807,0.00853243660553019
fotonik3d_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76914.0706436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144933.587821191,124137.85244566399,1144308.9500911268,0.0,114018.70625023001,0.0,0.0,1.604313167251812,0.064514,0.44618506895519994,2.050498236207012,0.13228584321065917,0.008534288888892466
fotonik3d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76922.01563034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144931.925789518,124129.35589582,1144297.321616736,0.0,114007.497142677,0.0,0.0,1.6042881160750908,0.064509,0.4461504884711999,2.0504386045462906,0.13227174394067664,0.00853271792986911
cactuBSSN_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305789.5497584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139224.525683266,357183.70322380395,1044595.6334530689,0.0,244551.711137249,0.0,0.0,2.091345123255788,0.185724,1.2844851620831998,3.3758302853389877,0.6269727039142982,0.11644387846177912
povray_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99817.57814632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159315.28157617297,119893.960140148,1254561.780152724,0.0,117152.50414852801,0.0,0.0,1.7507411041638927,0.06212,0.42962793321599996,2.1803690373798927,0.13544452460203893,0.008413813868278658
xalancbmk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149857.71093696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168451.236784074,262633.261894,1295763.2027301749,0.0,232812.229146176,0.0,0.0,2.1095176414913848,0.136308,0.9427193226144,3.0522369641057847,0.4160443161033313,0.05671016863941289
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145041.43241083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167680.828056423,259634.424323024,1291470.938481876,0.0,231770.587153759,0.0,0.0,2.095598210425912,0.134767,0.9320616174455999,3.027659827871512,0.4080286320227601,0.05498879465181131
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115609.12452186999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173239.185395139,142016.915073532,1357264.2339720349,0.0,135009.622536894,0.0,0.0,1.92313908149947,0.073554,0.5087065840271999,2.43184566552667,0.17887197608214866,0.013156749328746362
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100252.17935638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140172.10603166302,188076.02846122798,1129015.2646131888,0.0,150496.009290912,0.0,0.0,1.7080115877533717,0.097789,0.6763181899751999,2.3843297777285715,0.23316122463429928,0.022800602995763492
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86763.90917823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139833.198100435,121265.665877368,1133204.555386172,0.0,105146.54991623599,0.0,0.0,1.586213878458441,0.06305,0.43605990323999994,2.022273781698441,0.1275043619360867,0.008039150020070265
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193342.61850722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199012.61238818202,211364.397668756,1499772.912021473,0.0,185663.829442884,0.0,0.0,2.2891563700285147,0.109349,0.7562682689831999,3.0454246390117143,0.33301413885129194,0.03641476306924992
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118043.36663463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176426.935255995,146245.49383914,1381385.723166691,0.0,138475.049963059,0.0,0.0,1.9605765688595147,0.075738,0.5238113394384,2.4843879082979146,0.18816257139866746,0.014251056832592276
